Cluster: NL	Non-linguistic cluster
0	0.19874529659810133
you	0.1926319404979322
your	0.16181313939766095
x	0.1266199958594043
de	0.11065785561447035
science	0.11062174484533194
population	0.1068541831170839
y	0.10613182267897313
design	0.09689154685950982
energy	0.09608913384506448
2003	0.09366753423466254
public	0.09344001501947938
page	0.0916556084140855
la	0.08996513433633051
z	0.08699596788757942
we	0.08693555759008911
management	0.08437570380027118
r	0.0823003815671379
health	0.08048657224764377
software	0.08024947922234346
his	0.0797395164223727
economic	0.07950722827293358
module	0.07891238151845714
world	0.078689296338644
dna	0.07705872816585059
social	0.07693098849523038
et	0.0747610269447629
species	0.074281875049412
program	0.07393079323374945
fig	0.07298022106888312
des	0.07287538801590226
temperature	0.07167138973761136
life	0.07142733657810382
policy	0.07134075840504521
scientific	0.07096254036874541
le	0.0704235796458878
method	0.06979806484522857
power	0.06952567608204417
systems	0.06943920168557942
les	0.06929282708538086
system	0.06902572871157159
human	0.06843547530700211
he	0.0680730898046618
environmental	0.06800767308852139
national	0.06796123306974905
file	0.0664808353444429
people	0.06543715768017873
test	0.06526893389245547
technology	0.06502165368471612
user	0.06485294258212625
g	0.06478731351105657
cell	0.0638463840358786
food	0.0631746001262169
had	0.06300590911932272
library	0.06275715539447072
code	0.06272106057378032
political	0.0625860923280752
information	0.0623849490998514
products	0.06222458530767588
pm	0.06180134455115057
using	0.061673813325102536
development	0.061598322296012226
years	0.06135562983616654
der	0.06129056397079601
market	0.06126384788139292
agents	0.06122404161959786
simulation	0.06042844601130016
air	0.06031611482282482
methods	0.06009046756304114
project	0.05872029139065719
memory	0.05867699952843882
her	0.05822260877951153
field	0.05807706374917248
value	0.057951685016248346
business	0.057842638743987616
image	0.057741689600497435
network	0.056679228315788845
year	0.05620146697681719
education	0.0558989261039741
die	0.05551447147742443
computer	0.05525443144800921
que	0.054901743131148824
en	0.05481288265855139
product	0.05476382331760283
e	0.05465299659931552
was	0.05435816608966092
server	0.05399341973868848
programs	0.053805622293721184
water	0.05374385017990193
community	0.05306821000134212
control	0.05305865433084792
space	0.05301791920277474
growth	0.05253826151614082
digital	0.052455158931756125
patients	0.05233861678329844
center	0.0522410956554022
engineering	0.051634555602650845
call	0.05146240097441302
cost	0.051382192765186324
physical	0.05132072303704202
size	0.05129726542113644
chemical	0.05123200694449694
global	0.051177501409212914
countries	0.05107092957716592
quality	0.05087055901143016
est	0.05080869560892366
message	0.050581341096233676
time	0.05023420631484422
web	0.05016010617907772
were	0.05015648613044865
name	0.05011997565310258
und	0.050092097437882385
rate	0.050013302526173
flow	0.049998388759510765
training	0.049575967119432796
percent	0.04865554072454259
dr	0.04846558520162682
environment	0.04844385600766921
during	0.04819341547715857
report	0.04789755221961822
states	0.04774004780260809
day	0.04736454460596105
fax	0.046628212404432816
animals	0.04640197686628021
phys	0.046373610180363005
resources	0.045971496525800896
par	0.04595082138221046
guide	0.045898215807216966
users	0.04566543496750164
sustainable	0.045497929864684
volume	0.04545559481597855
command	0.045312866014689035
services	0.04528222785656785
activity	0.045236097505346906
identifier	0.045183750022380655
flight	0.04512317933666143
school	0.04507074166181937
cancer	0.0447218099799552
dans	0.04471034906943642
biological	0.04466848328835771
equation	0.04456289659533652
files	0.044407773402819324
une	0.04440585922124896
ou	0.04438216827018471
total	0.04415475542911486
un	0.044065122368612354
email	0.044034840063755146
risk	0.04330806487836612
state	0.04204175281656238
string	0.04199423795498962
exchange	0.041832320468210886
du	0.04168478943791684
format	0.041232031239831685
drug	0.040913940882254196
mr	0.04090835266470867
impact	0.04078683302436992
industry	0.040579988247133186
mode	0.04055297034999261
medical	0.04039509356767163
service	0.04027826544023055
million	0.04006852200074476
standards	0.04004288752670845
th	0.040039004563775404
response	0.03980329636919806
him	0.03935211343628974
animal	0.039239593237761154
clinical	0.03900603504123991
markets	0.03895621458964203
performance	0.03895593934470203
phone	0.03893153345994427
line	0.03891545703158407
security	0.038805332060834204
v	0.038651528965169525
integer	0.03828864349871186
pour	0.03827774609962079
team	0.0381583167229719
area	0.0380861924122614
plan	0.03804206539217964
pdf	0.03790677030895757
visual	0.037836619732939364
united	0.037824993725132275
unit	0.03776997409259506
law	0.03759375091106721
attack	0.03742653162067183
children	0.0374159857422865
army	0.03732586242995951
federal	0.03728750102726218
chapter	0.03727430831480397
density	0.037197582731496856
private	0.037177134089229506
days	0.037090751224974065
earth	0.03705161686413336
pro	0.03699793466259315
theory	0.036735734948864215
review	0.036653077077255375
pitch	0.03663783589579359
applications	0.03650403218503172
war	0.036441256987705783
immigration	0.036390886259690655
immigrants	0.036148746020203786
fr	0.036148680092561856
organization	0.036141759160479896
java	0.03606279000931347
im	0.03606059122061748
sector	0.03589261983703804
das	0.03587102280594117
city	0.03554204724565727
july	0.035452218537989105
record	0.03527707081149214
qui	0.03512733480907142
title	0.03506097242278804
video	0.034947358577964154
off	0.034751954504773794
firms	0.03469761326944909
international	0.03465107686213768
income	0.03462585605541402
map	0.03460368157166872
costs	0.03455034740344347
great	0.03451687068977564
rates	0.034505827757580876
equipment	0.03448523164649698
practice	0.034119169025498865
transport	0.03409978234851923
materials	0.03401772572845802
au	0.03378584322111505
document	0.03378256495853927
book	0.03368283041149843
family	0.033483495119207694
press	0.033203449600531426
machine	0.03296814000405881
safety	0.03287062973007945
schools	0.032608524891565974
disease	0.032473155093067654
inc	0.03244548170707906
economics	0.032435549983047304
00	0.03240425748111254
march	0.03230745498985558
drive	0.03226912162566808
menu	0.03222260638755014
disk	0.032066733889476035
es	0.03193136980350308
board	0.03184177182018138
rights	0.03165488434878979
assessment	0.031635105230744906
building	0.03144825849964543
pr	0.031419869316400124
effective	0.03139433105894397
weapons	0.03136220345445168
military	0.031227494559404743
example	0.031160815333700173
organizations	0.03111171435260915
von	0.03111034037189691
agency	0.031021262519568712
activities	0.030959589206221216
university	0.03090337601804292
department	0.030763048655296815
speed	0.030725237810734822
office	0.030544166190595502
heart	0.030483073442415076
pressure	0.03028075530091413
europe	0.03014811119853726
director	0.0298874108698564
panel	0.029868985761590805
sur	0.02980319202492596
assembly	0.029794003073413018
areas	0.02976048339171395
age	0.029758598233239383
action	0.029734933830303116
cp	0.029610607743298392
european	0.029390545284338175
price	0.029383059103878544
access	0.029261047395447465
policies	0.02913659846472684
canada	0.029119098138283887
instrument	0.029075816320681045
eg	0.029065784704086706
staff	0.02896015791089525
men	0.02894468239791127
hours	0.028857483047819387
government	0.028812879640697803
resource	0.028674322204963885
country	0.0286438754202714
ist	0.028598941928602087
benefits	0.028569637113918165
release	0.028376158041171533
tom	0.028266290363711158
guidelines	0.028250255478722976
maximum	0.02824980813830768
eyes	0.028189023302180018
consumption	0.027841641946919092
circuit	0.02780814024845339
protection	0.027738525551353838
trade	0.02769309282671244
ce	0.027360116494643913
instructions	0.027298744206320776
declaration	0.027182027138403404
01	0.02708981491446274
actions	0.027054017491052518
period	0.02689491956426698
sont	0.026827644375292913
vs	0.026527194540962803
past	0.026436420271001987
measurements	0.02640668123364967
company	0.02639455428090589
site	0.026352577634876417
monitoring	0.02635094849092218
instruction	0.026331954022748225
blood	0.026286406431926205
members	0.026198419768657326
land	0.02615231789468191
care	0.02613760906438451
industrial	0.026083472305607175
street	0.02606367589726547
ie	0.02597717431153027
b	0.025975218736849378
statement	0.025953172164791836
exposure	0.025927384109727107
planning	0.025781361035141444
germany	0.02577301921291044
persons	0.02572378756938773
joint	0.025706908456143818
force	0.025699591610754125
ti	0.025684105179209833
disabilities	0.025551606905602743
werden	0.02526655937411153
role	0.025178084281895916
storage	0.0251373979068269
january	0.02480920772145083
plans	0.02468487544768317
operational	0.024631151547781338
laws	0.024600267643751332
manual	0.02459890523759543
procedure	0.02450595733589246
capabilities	0.024393508183663523
id	0.024384034154240886
received	0.0243262723810263
act	0.024269213201173315
art	0.0242626662777534
technical	0.024205517665552578
matrix	0.024202899290990038
decision	0.02408146886832703
ob	0.023857988179357376
application	0.023811972789387337
justice	0.02376722616730446
minimum	0.023756378931699264
traffic	0.023732476940903673
carbon	0.02364768897076698
boot	0.023510968312719073
language	0.02345488755060595
like	0.023428786995212475
nous	0.023413331334546962
tr	0.02333545723809955
loi	0.023277073750586543
tape	0.023276555483159656
expression	0.02320191779059565
practices	0.023095825566397592
funding	0.023088064748281702
requirements	0.023085820334872765
thus	0.02308549321634121
required	0.023052350828985487
council	0.023046971190959505
prior	0.023030554662597034
den	0.022935565449558545
pv	0.022876648170808648
mm	0.02285284592750721
measures	0.022828025795519007
complex	0.0226981014637891
existing	0.022690866511598157
here	0.022689281000052026
fy	0.022555988405017033
protocol	0.02253253695850097
ratio	0.02239871589515425
commercial	0.022355858171288885
gas	0.022339135276874086
wird	0.022298204794124987
interest	0.022284499898739936
financial	0.0222661877545661
eine	0.022199063950978114
domain	0.022193939088580708
words	0.022140692187713275
administration	0.02205360463179033
fort	0.022051331741339195
charge	0.022010300348233793
capital	0.021945376814264818
oder	0.021787250183718625
zu	0.02177312191925781
since	0.021733377145994798
committee	0.02165288388089975
transfer	0.021609130177598794
mission	0.02145477376255546
defense	0.021410821769858805
legal	0.021359268069922572
resolution	0.02133028365690575
analysis	0.021324855768131264
procedures	0.021263499577960754
elements	0.02126221346589268
notion	0.02117381860925585
foreign	0.02109520261287404
decisions	0.021068323797082802
1995	0.021019871738022406
insurance	0.02100684171266903
date	0.020746209302841025
auf	0.020732395789566812
2d	0.020727833987973544
als	0.020646580358663187
operator	0.020612855754283718
upon	0.020554796032604548
heat	0.020524093062486405
member	0.020446725046282685
finite	0.020346505862375974
months	0.020339709908527463
operating	0.020299739323350115
waste	0.02025958508643789
objects	0.02014344708621009
party	0.020101091228664793
object	0.01989652412662463
goods	0.0198527714062529
sir	0.019838952482680732
facilities	0.019830714408530344
county	0.019815868011980525
1988	0.019697324606783292
capability	0.01963528492010242
cas	0.019610646864402663
context	0.019588122504021695
john	0.019493086373659187
substitution	0.019432881765371664
mo	0.019401051669088582
god	0.019386013562809182
peut	0.019385865918058562
buildings	0.019278716923776595
bei	0.019270145801845166
focus	0.019225500420729423
capacity	0.019135409170040654
person	0.019015479646419434
main	0.018963949934293994
directive	0.018956493237776494
avec	0.018943729276418318
death	0.018769368675693426
amount	0.018739650159487597
institutions	0.018675717278413845
union	0.01856310802662295
feet	0.018559061675167545
register	0.0184756350639869
movement	0.018436942937957047
ch	0.018351051409739378
phenomena	0.018209520959243105
master	0.018186025712111312
pas	0.018179591735653738
installation	0.018158371128443
fire	0.018135615754585638
request	0.017879779993773888
held	0.017861689079322
structure	0.017838768987320935
shall	0.01782735822359086
word	0.01778969036211243
labor	0.017778407998592975
1991	0.017753492804775266
jesus	0.017687814352258528
representation	0.01765531627126896
mrs	0.017540420861432607
worlds	0.017504496240142862
nicht	0.017502180783115624
prop	0.017492766765463158
hypothesis	0.017480447108008078
ein	0.01746761265607837
dun	0.017449803420772673
argument	0.01744312062475909
executive	0.017395511507936307
clause	0.017369341199769975
ject	0.017367391994980445
mme	0.017354929362422753
electronic	0.017324444529264092
move	0.01728713353826223
patterns	0.01723234350715648
element	0.017212173536450284
vocabulary	0.01720533850291208
seen	0.017061570650430555
records	0.01700107772307815
shown	0.016988716930774896
conjoint	0.01696926707694192
eds	0.01693976349540766
instance	0.016939232422738825
cern	0.016805238159712764
classes	0.016790499088159164
root	0.016752163379989554
hr	0.01671382020094112
properties	0.016702681612138965
agencies	0.016634696531550856
corpus	0.016600777757518462
parties	0.016554913043528716
agg	0.016484353119636294
bank	0.01644482175492775
alf	0.016419686400347886
cf	0.016355073877626965
disc	0.01629564304574029
pay	0.016282677405968744
vehicle	0.016254392856192405
hence	0.016178549660149068
ut	0.016135821037918146
governments	0.016087141322673446
formal	0.0159901613850895
deux	0.01591720681000542
wie	0.01591582313170059
thesis	0.01588238415175478
terms	0.015878839275044243
theater	0.015863140098049074
1993	0.015815917501278868
signature	0.015691142462407097
functional	0.015670103775765762
pattern	0.015616631534623565
cette	0.015421043969634316
son	0.015418472850702131
convention	0.01541631642568905
programme	0.015408943739772309
comme	0.015400205213281835
documents	0.015398913649374946
commission	0.015379380527095641
direct	0.015365314042072854
supra	0.015319701372940659
english	0.015318626323514354
bean	0.015310946663331803
manager	0.015298800354998091
damage	0.015279795872355988
dear	0.015277643714166102
seems	0.015189172639701905
durch	0.015151149992100018
meaning	0.015094964034520418
relative	0.015092979609531442
mi	0.015085722053622064
partner	0.015045771718538494
archival	0.015024323179846059
shows	0.015018088298337512
strong	0.014988219399360233
da	0.014958717093509386
congress	0.014899261123187799
employees	0.014880877601022021
paragraph	0.014834795836704677
anxiety	0.01478018709353642
1985	0.014717827253018007
approved	0.01470172813431095
archives	0.01469503665445445
sind	0.01467660592370063
sylvia	0.014649589456780842
chief	0.014644664111469929
soit	0.014558547219150147
9i	0.014488211233257076
hit	0.01447449668429712
saw	0.014439440525326683
combat	0.01443896803360619
dune	0.014437489101348858
iff	0.014409809306544348
fact	0.014404782899745875
reading	0.014368201461002698
subsection	0.014348672114614491
maintenance	0.014345623708312716
vehicles	0.014321328046627751
ee	0.01431444998630949
regulations	0.014294120322528027
miss	0.014208730184378317
sub	0.014194062762005353
1986	0.01419404175596057
cambridge	0.014153860526263013
dat	0.014088933434197995
nach	0.014084550631162656
feature	0.014061991976537033
null	0.014059501672279283
discussion	0.014056397161818562
features	0.01397983839213439
dem	0.013961565632065638
scope	0.013929214403233199
temporal	0.013913917177503045
officer	0.0139059601798516
pipe	0.013846038635656975
weak	0.013838456500382242
particle	0.013733144736447557
credit	0.013674947028791636
responsibility	0.013671245745198015
authority	0.01351562703640608
su	0.01349232928927445
match	0.013491289862322724
speech	0.013378570126199404
contract	0.013377081039764987
const	0.013369477836298709
topo	0.013352835589686115
mit	0.01331784168973433
fan	0.013297277159185989
trial	0.013295652098677085
personnel	0.013291631457995176
structures	0.01328482988133849
condition	0.013260267483459166
minister	0.013225232158858128
below	0.01321400412134317
1984	0.01317535956018338
bound	0.013170504404850958
funds	0.013146917043761053
optic	0.013029747283766976
district	0.012960619816943176
adj	0.012918579177731862
1982	0.012876942701971886
1987	0.012874564947514341
forms	0.012868447680989128
nur	0.012868157329598428
heaven	0.012858380537326254
mother	0.012778091439918976
jects	0.012765343651664434
harmony	0.012736607832200405
relation	0.01271898193721833
someone	0.012697806990744716
submitted	0.012695459943664665
principle	0.012676854479248824
larticle	0.01266696488083645
entre	0.012664558405175032
official	0.012654644642666949
ces	0.012613697041126427
heating	0.012543718957585201
evidence	0.012489485900139688
pump	0.01247139972234173
discourse	0.012462495908915653
conduct	0.012462306383900165
auch	0.0124371311368205
donc	0.012408773162529566
anthrax	0.012394392417057056
facility	0.012380989953759558
ta	0.012372908030266996
jazz	0.012323932343758448
cases	0.012252592274206386
segments	0.012178149818784043
case	0.012147218938436483
constraints	0.012100589384934031
mais	0.012033000609387017
crawford	0.01201897352805084
piping	0.012000237170742192
spouse	0.01195840771510198
relations	0.01190766432748884
domains	0.011858471377657762
tray	0.011851828948732861
samesex	0.011698039926447724
position	0.011658431726566101
whereas	0.011654372277737251
certified	0.011607843619077515
encoding	0.011566439911741196
emergency	0.011564675482802354
examples	0.0115534514177267
1977	0.01154943304876592
notice	0.011544860480600744
church	0.011544677125433599
kann	0.01143833255126071
account	0.011392646830424957
criminal	0.01137044099670954
arguments	0.011339468017059616
court	0.011307716769258394
quantity	0.011289093313270224
derived	0.01120516901127424
head	0.011192399053025683
archive	0.011183818239641976
agreement	0.011125451843956946
conceptual	0.011121879966989722
modality	0.011084100891276911
issued	0.01092341491134585
gad	0.010906999664593927
delivery	0.010899879753961212
particles	0.01084577044589421
speaker	0.0108428684476887
tomography	0.010820033173075014
surround	0.010816083308545495
guard	0.01073512669731419
roles	0.01069587332605058
comprehension	0.010656487650702649
tor	0.010652369320991506
doctrine	0.010625090294786832
sich	0.010580927529017082
feb	0.010578352984485017
modal	0.010566457232467233
schedule	0.01054917606052651
russian	0.010537062158627805
cl	0.01049445104143626
om	0.01046818421712467
duty	0.010416158523944884
doc	0.010408584897029304
semantics	0.010364700719694298
3rd	0.010350059451504067
subjects	0.010310450573848348
meanings	0.010299605212259718
regulation	0.010286121958601058
employment	0.010260589154518229
hearing	0.010203528438289469
contrast	0.010184018497347383
ov	0.010180120275143971
expressions	0.010154143037571022
submit	0.010152089109533826
languages	0.010140811287178109
occur	0.010113402110098898
ees	0.010071812731434353
msg	0.010064735602497986
1976	0.01005339668626729
assume	0.01005141448907505
syntax	0.010036567679044695
approval	0.010002381428803176
extraction	0.010000388434353354
sentence	0.009996476559834166
aus	0.009929132897742263
secretary	0.009880526178559779
boy	0.009831402609584731
tre	0.009831204399728642
quil	0.00982576624838231
amended	0.009747902895957072
wen	0.009675664623388452
appear	0.009599203005537908
phrase	0.009525884586297108
labour	0.009522868065293512
epa	0.009498637392776208
french	0.009407582729565671
constraint	0.00932317731455017
underlying	0.009315782791538158
latter	0.009305601101197644
facts	0.009291638603414589
fonction	0.009277638261343708
subject	0.009259614463924336
officers	0.00925467880786696
namely	0.009234906267808542
structural	0.009221054331112392
personne	0.00913619991515794
huck	0.0090162038493732
category	0.008962798687450896
modifi	0.008949887918167082
agree	0.008947257089145967
german	0.008914551956031221
temps	0.008857986928457707
